a.  un; una .  
assonance.  asonancia .  
assonant.  asonante .  
assort.  clasificar .  
assorted.  surtido; variedad; variado .  
assortment.  variedad; surtido .  
assuage.  calmar; aliviar; sosegar; saciar; mitigar; suavizar; satisfacer .  
assume.  presumir; suponer; tomar; adoptar .  
assumption.  suposici n; supuesto; toma .  
assurance.  confianza; garant a; seguro .  
assure.  asegurar .  
assured.  segurodes mismo; seguro .  
aster.  aster; g nerodeplantasdelafamiliadelascompuestas,figuraconstituidaporuncentrosomaylosfilamentosquede lirradian .  
asterisk.  asterisco .  
astern.  apopa .  
asteroid.  asteroide .  
asthma.  asma .  
asthmatic.  asm tico .  
astigmatism.  astigmatismo .  
astir.  enmovimiento; enactividad .  
astonish.  asombrar; pasmar; sorprender .  
astonished.  asombrado; pasmado; helado .  
astonishing.  asombroso; sorprendente .  
astonishment.  sorpresa; granasombro .  
astound.  sorprender; aturdir; aterrar; dejarhelado; dejarpasmado .  
astounded.  pasmado; helado .  
astounding.  incre ble; pasmoso .  
astray.  extraviado; descarriado .  
astride.  ahorcajadas .  
astringent.  astringente; agrio; c ustico .  
astrolabe.  astrolabio .  
 .  
astrologer.  astr logo .  
astrology.  astrolog a .  
astronaut.  astronauta .  
astronomer.  astr nomo .  
astronomical.  astron mico .  
astronomy.  astronom a .  
astroturf.  c spedartificial .  
astute.  listo; inteligente; sagaz; astuto .  
asunder.  separado; enpedazos .  
aswarm.  enenjambres .  
asylum.  asilo; manicomio; psiqui trico .  
asymmetrical.  asim trico .  
at.  a; en; hacia .  
atavistic.  at vico .  
ate.  pasadodeeat .  
atheism.  ate smo .  
atheist.  ateo .  
athens.  atenas .  
athirst.  sediento .  
athlete.  atleta .  
athletic.  atl tico;  .  
athletics.  atletismo .  
athwart.  atrav s; contra .  
atlantic.  atl ntico .  
atlas.  atlas .  
atmosphere.  ambiente; atm sfera; esfera .  
atmospheric.  atmosf rico .  
atoll.  atol n .  
atom.   tomo .  
atomic.  at micoatomiser, .  
atomizer.  aerosol; pulverizador; vaporizador .  
atone.  compensaratone .  
for.  expiar .  
atonement.  reparaci n; compensaci n; expiaci n .  
atrocious.  atroz; p simo .  
atrocity.  atrocidad .  
atrophy.  atrofiar; atrofiarse .  
attach.  sujetar; fijar; juntar; prender; dar; conceder .  
attach .  agregado; attach .  
case.  portafolios; malet n .  
attachment.  acoplamiento; accesorio; apego; cari o; relaci n .  
attack.  ataque; abordar; atacar .  
attacker.  agresor .  
attain.  lograr; obtener; conseguir; llegara .  
attainable.  alcanzable; factible .  
attainder.  extinci ndelosderechoscivilesdeunindividuo .  
attainment.  logro; rendimiento .  
attaint.  proscribir; manchar; deshonrar; viciar; corromper .  
attempt.  tentativa; intento; intentar; probarattempted .  
murder.  intentodeasesinato .  
attend.  asistira; servir; asistiraattend .  
to.  ocuparsede; atendera; prestaratenci na .  
attendance.  asistencia .  
 .  
attendant.  acompa ante; guardi n; guarda; encargado; empleado .  
attention.  atenci n .  
attentive.  atento .  
attest.  confirmar; atestiguar; darfe .  
attic.  desv n;  tico; altillo; buhardilla .  
attire.  traje; atav o; atuendo .  
attitude.  actitud; pose .  
attorney.  agente; abogado .  
attract.  atraer; provocar; suscitar; serobjetode .  
attraction.  atracci n; atractivo .  
attractive.  atractivo; tentador .  
attribute.  atributo; atribuir .  
attrition.  desgaste .  
attune.  armon a; acordar; afinar; tobeattuned .  
to.  estarenarmon acon .  
aubergine.  berenjena .  
auburn.  casta o; colorcaoba .  
auction.  subasta; subastar .  
auctioneer.  subastador .  
audacious.  atrevido; audaz .  
audacity.  audacia; descaro; atrevimiento .  
audible.  audible .  
audience.  p blico; audiencia; auditorio .  
audio.  deaudio .  
audit.  auditar; auditor a .  
audition.  audici n; prueba; hacerunaprueba; probar .  
auditor.  interventor; revisordecuentas; oyente .  
auditorium.  aula; auditorio .  
auditory.  auditivo .  
aught.  algunacosa; algo .  
augment.  incrementar .  
augur.  augurar .  
august.  agosto .  
auk.  alca; p jarodealascortas .  
auld.  old .  
aunt.  t a; t o .  
aura.  aura; aureola .  
aurochs.  uro .  
auspices.  auspicios .  
auspicious.  prometedor .  
austere.  austero .  
austerity.  austeridad .  
australia.  australia .  
australian.  australiano .  
austria.  austria .  
austrian.  austr aco .  
authentic.  aut ntico .  
authenticate.  autentificar .  
authenticity.  autenticidad .  
author.  autor .  
authorisation.  autorizaci n; permiso .  
authorise.  autorizar .  
 .  
authorised.  autorizado .  
authoritarian.  autoritario .  
authoritative.  imperioso; autoritario; fidedigno; autorizado .  
authorities.  autoridades .  
authority.  autoridad .  
authorization.  autorizaci n .  
authorize.  autorizar .  
autobahn.  autopista .  
autobiographical.  autobiogr fico .  
autobiography.  autobiogr fico .  
autocratic.  autocr tico .  
autograph.  aut grafo; autografiar; firmar .  
automate.  automatizar .  
automated.  automatedteller .  
machine.  cajeroautom tico .  
automatic.  autom tico; pistolaautom tica; cocheautom tico .  
automatically.  autom ticamente .  
automation.  automatizaci n .  
automobile.  autom vil; coche .  
automotive.  automotor .  
autonomous.  aut nomo .  
autonomy.  autonom a .  
autopsy.  autopsia .  
autumn.  oto o .  
autumnal.  oto al .  
auxiliary.  auxiliar .  
avail.  aprovechar; servir; tono .  
avail.  envano .  
available.  disponible; libre .  
avalanche.  avalancha; alud .  
avant-garde.  vanguardia; nuevaola; vanguardista .  
avarice.  avaricia .  
avaricious.  avaricioso; avaro .  
avenge.  vengar .  
avenging.  vengador .  
avens.  cualquierplantadelg nerodelasros ceas .  
avenue.  avenida; paseo; posibilidad; v a .  
aver.  declarar; afirmar; aseverar .  
average.  promedio; regular; media; calcularlamediaaverage .  
out.  calcularelpromedio .  
averse.  opuesto .  
aversion.  aversi n .  
avert.  apartar; evitar; desviar .  
aviary.  pajarera .  
aviation.  aviaci n .  
avid.   vido .  
avocado.  aguacate .  
avoid.  evitar .  
avoidable.  evitable .  
avoidance.  evasi n .  
avoirdupois.  sistemadepesosusadoenpa sesdehablainglesa .  
avow.  confesar; reconocer .  
avowal.  confesi n; declaraci n; promesa .  
 .  
avowed.  declarado .  
avuncular.  det o .  
await.  esperar .  
awake.  despierto; consciente; despertarse; despertar .  
awaken.  despertar; despertarse .  
awakening.  despertarse .  
award.  premio; galard n; condecoraci n; indemnizaci n; beca; conceder; otorgar .  
aware.  consciente .  
awareness.  conciencia .  
awash.  inundado .  
away.  fuera .  
awe.  temorreverencial; pavoryrespeto; sobrecogimiento; admiraci n .  
awesome.  imponente; impresionante .  
awestruck.  atemorizado .  
awful.  terrible; tremendo; espantoso; atroz .  
awfully.  terriblemente .  
awhile.  unrato .  
awkward.  torpe; embarazoso; vergonzoso; dif cil; inc modo .  
awl.  lezna .  
awn.  arista; filamento speroqueenvuelveelgranodeltrigoyotrasgram neas .  
awning.  toldo; marquesina .  
awol.  absentwithout .  
leave.  ausentesinpermiso .  
awoke.  pasadodeawake .  
awoken.  participiopasadodeawake .  
awry.  torcido .  
axe.  hacha; recortar; suspender; tohaveanaxeto .  
grind.  teneruninter spersonal .  
axil.   nguloentrelahojayeltallo .  
axiom.  axioma .  
axis.  eje .  
axle.  eje; card n; articulaci nparatransmitirunmovimientoderotaci nendireccionesdistintas .  
axolotl.  ajolote .  
aye.  siempre; s .  
azure.  celeste .  
baa.  balido; balar .  
babble.  murmullo; charla; balbuceo; murmurar; charlar; balbucear; farfullar .  
babbler.  charlat n; hablador .  
babbling.  charla .  
baboon.  babuino; mandril .  
babe.  baby .  
babiroussa.  babirusa; cerdosalvajequeviveenasiaycuyacarneescomestible .  
baboon.  babuino; mandril .  
babouche.  babucha .  
babushka.  bufandatriangularqueseatabajolabarbilla .  
baby.  beb ; criatura; nene; ni o; infantil; peque o; cari o; mimar .  
babyhood.  infancia .  
babyish.  pueril; infantil .  
baby-sit.  cuidarni os .  
baby-sitter.  canguro .  
baccalaureate.  bachillerato .  
baccarat.  bacar bacchanal, .  
bacchanalian.  bacanal; ebrio; borracho; calavera .  
bacchanalia.  bacanal; org a .  
bacchanals.  bacanales .  
bacchante.  bacante .  
bacchic.  b quico .  
bacchus.  baco .  
bachelor.  soltero; c libe; bachiller .  
bachelorhood.  solter amasculinabachelor's .  
button.  nombredelazulejo,lacentaurayotrasplantas .  
bacillus.  bacilo .  
back.  espalda; lomo; espinazo; dorso; env s; rev s; trasera; fondo; respaldo; canto; parteconvexa; defensa; foro; enminer a,partedeunavetaofil nqueseencuentram scercadelasuperficie; posterior; dorsal; trasero; interior; apartado; atrasado; quevuelve; atr s; haciaatr s; devuelta; deregreso; retroceder; girar; apoyar; sostener; respaldar; secundar; empujar; formar; montar; apostarback .  
away.  retrocederback .  
down.  cederback .  
off.  retrocederback .  
out.  echarseatr sback .  
up.  apoyar; retrasar; darmarchaatr s; hacerunacopiadeseguridad; togetsomebody'sback .  
up.  picarauno .  
backache.  dolordeespalda .  
backbencher.  diputadosincargoenelgabinetedelgobiernoolaoposici n .  
backbite.  murmurar; criticar; calumniar .  
backbiter.  calumniador; murmurador .  
backbiting.  murmuraci n .  
backbone.  columnavertebral; espinazo; nervio; firmeza; resistencia .  
backbreaking.  agotador .  
backcloth.  tel ndefondo .  
back-date.  antedatar .  
backdoor.  clandestino; secreto .  
backdown.  retractaci n .  
 .  
backdrop.  tel ndefondo .  
backer.  financiador; respaldador; apoyador; partidario; patrocinador .  
backfire.  petardeo; petardear; salireltiroporlaculata .  
backgammon.  tablasreales; backgammon .  
background.  fondo; trasfondo; origen; antecedentes; procedencia; lontananzabackhand, .  
backhanded.  derev s; ir nico; equ voco; desma ado .  
backing.  respaldo; garant a; apoyo; refuerzo; sost n; reserva; azogado; retroceso; forro; acompa amiento .  
backlash.  reacci nviolenta; contragolpe .  
backlog.  volumenacumulado; acumulaci n; trabajoatrasado .  
backpack.  mochila .  
back-pay.  atraso .  
backpedal.  darmarchaatr s; echarseatr s .  
backpiece.  espaldar .  
backset.  contratiempo; contrariedad; remanso; contracorriente .  
backshop.  trastienda; rebotica .  
backside.  trasero; culo; espalda; partedeatr s .  
backslide.  reincidir; recaer; volveralasandadas; deslizarsehaciaatr s .  
backspacer.  tecladeretroceso .  
backstage.  entrebastidores .  
backstairs.  deintriga; secreto; clandestino .  
backstitch.  pespunte; pespuntear .  
backtrack.  volverseatr s .  
backstreet.  callepocoimportanteenlosbarriosbajosdeunaciudad .  
backstroke.  espalda .  
backtrack.  darmarchaatr s .  
back-up.  reserva; copiadeseguridad; apoyo; respaldo; embotellamiento; deemergencia .  
backward.  alrev s; haciaatr s; retr grado; retrospectivo; atrasado; tard o; lento; tardo; lerdo; torpe; corto; t mido; renuente .  
backwardation.  dobleenbolsa .  
backwards.  haciaatr s; alrev s; deespaldas; delrev s .  
backwash.  reacci n; consecuencias; corrientehaciaatr s .  
backwater.  remanso; lugaratrasado; p ramo .  
backwoods.  regi ndebosquesalejadodeloscentrosdepoblaci n .  
backyard.  patio; jard ntrasero .  
bacon.  tocino; bacon; tosaveone's .  
bacon.  salvarelpellejo .  
bacteria.  bacterium .  
bacteriology.  bacteriolog a .  
bacterium.  bacteria .  
bad.  malo; enfermo; podrido; grave; travieso; incobrablebaddie, .  
baddy.  malo .  
bade.  pasadodebid .  
badge.  se al; insignia; distintivo; placa; condecoraci n; divisa; s mbolo .  
badger.  tej n; fastidiar; acosar; molestar; atormentarhastaconseguir .  
badinage.  broma; burla; chanza .  
badly.  mal; mucho; gravemente; tobebadly .  
off.  andarmaldedinero .  
badly-off.  apuradodedinero .  
bad-mannered.  maleducado .  
badminton.  b dminton .  
badness.  maldad; malacalidad .  
bad-tempered.  demalgenio; malhumorado .  
 .  
baffle.  confusi n; desconcierto; pantalla; reflector; estorbar; impedir; confundir; desconcertar; burlar; frustrar; desviar; detener .  
baffled.  perplejo; confuso .  
bafflement.  perplejidad; desconcierto; confusi n .  
baffling.  misterioso; desconcertante .  
bag.  bolsa; bolso; saco; talega; cartera; monedero; maleta; zurr n; morral; bruja; arp a; tomar; reservar; capturar; embolsar; cazar; pescar; atrapar; coger; hincharse .  
bagasse.  bagazo; residuosecoquequedaalexprimirlaca adeaz car .  
bagel.  especiedebollodepanenformaderosca .  
bagatelle.  bagatela .  
baggage.  equipaje; maletas; mujercilla; picaruela .  
baggy.  ancho; muyholgado; abombado; quehacebolsas .  
bagnio.  prisi ndeesclavos; lupanar; casadeba os .  
bagpipe.  gaita .  
bagpiper.  gaitero .  
baguette.  barradepan .  
bahamas.  bahamas .  
bail.  fianza; fiador; asa; arco; achicador; darfianzaporuno; ponerenlibertadbajofianza; achicar; afianzarconaros; sacardeapuros; tirarseenparaca dasbail .  
out.  lanzarseenparaca das; pagarlafianza; achicar .  
bailey.  murallaopatiodeuncastilloofortaleza .  
bailiff.  alguacil; magistrado; administrador; mayordomo .  
bailiwick.  territorio; bail a; mayordom a .  
bain-marie.  ba omar a .  
bairn.  ni o; ni a .  
bait.  cebo; carnada; se uelo; anzuelo; aliciente; pienso; acosar; atormentar; provocar; cebar; darpienso; hacersufrir .  
baize.  bayeta; pa overdeconquesecubrenlasmesasdejuego .  
bake.  cocci nalhorno; cosacocidaalhorno; asar; coceralhorno; calcinar; secarse .  
bakelite.  baquelita .  
baker.  panadero; hornero .  
baker's.  panader a .  
bakery.  panader a; horno; tahona .  
baking.  cocci n; muycaliente; baking .  
powder.  levadura; baking .  
soda.  bicarbonato .  
baksheesh.  propina .  
balaclava.  pasamonta as .  
balance.  balanza; contrapeso; contrapunto; balance; equilibrio; saldo; resto; comparaci n; estimaci n; volantedereloj; estarenequilibrio; pesar; estimar; comparar; sopesar; equilibrar; nivelar; contrapesar; balancear; cuadrar; off .  
balance.  desconcertar .  
balanced.  equilibrado .  
balancer.  pesador; equilibrista; estabilizador; balanc nded ptero .  
balas.  balaje; rub decolormorado .  
balcony.  galer a; anfiteatro; balc n; terraza .  
bald.  calvo; desnudo; delgado; escueto; pobre; desgastado .  
baldachin.  baldaqu n .  
bald-faced.  cariblanco; careto .  
balderdash.  monserga; tonter as .  
bald-faced.  careto; cariblanco .  
balding.  calvo .  
baldness.  calvicie; desnudez; parquedad .  
baldric.  tahal ; estuchedondeseguardanlasoracionescomoamuleto .  
 .  
bale.  mal; dolor; bala; fardo; embalar; achicaragua; tirarseenparaca das .  
baleen.  sustanciael sticaenlamand bulasuperiordealgunasballenas; barbadeballena .  
balefire.  almenara; hoguera .  
baleful.  siniestro; ce udo; triste; funesto; pernicioso; maligno .  
balk.  caball n; lomoentresurcoysurcodelatierraarada; yerro; desliz; fracaso; contrariedad; impedimento; viga; caba a; casa; cuadro; burlar; desbaratar; malograr; perder; impedir; evitar; plantarse; rechazar .  
ball.  nudillo; baile; bala; pelota; bola; globo; esfera; ovillo; yemadeldedo; cepell n; tierraquesedejaadheridaalasra cesdelosvegetalesparatrasplantarlos; relaci nsexual; apelotonar; convertirenunabola;  .  
balls!.   cojones!;  .  
balls.  tonter asball .  
up.  estropear; joder .  
ballad.  balada; canci n; copla; romance .  
ballade.  balada .  
ballast.  lastre; grava; lastrar; afirmar .  
ball-bearing.  cojinete; rodamiento; bola .  
ballboy.  recogedordepelotas .  
ballcock.  llavedebola; llavedeflotador; flotadordeunacisterna .  
ballerina.  bailarina .  
ballet.  ballet .  
ballflower.  adornog ticosemejanteaunaboladentrodeunaflorglobular .  
ballista.  balista; m quinausadaantiguamenteenlossitiosdelasciudadesyfortalezasparaarrojarpiedrasdemuchopeso .  
ballistic.  bal stico;  .  
ballistics.  bal stica .  
balloon.  globo; bal n; bocadillo; recipienteesf ricodevidrioconcuelloprolongado; irenglobo; hincharse .  
balloonist.  aeronauta .  
ballot.  balota; bolillaquealgunascomunidadesempleanparavotar; papeletadevoto; candidatura; votaci n; sufragio; votar; insacular .  
ballot-box.  urnaelectoral .  
balloting.  votaci n .  
ballpark.  estadiodebaseball; aproximado .  
ballpoint.  bol grafo .  
ballroom.  sal ndebaile .  
balls-up.  l o .  
ballsy.  muyagresivooatrevido .  
bally.  pu etero .  
ballyhoo.  propagandaestrepitosa; ruido; jaleo; conmoci n .  
balm.  b lsamo; aroma; perfume; melisa .  
balmy.  bals mico; calmante; apacible; reparador; suave; fragante; chiflado; idiota .  
baloney.  chorradasbalsa, .  
balsawood.  balsa .  
balsam.  b lsamo; balsamina; plantaanualdelafamiliadelascucurbit ceas,contallosdecercadeunmetrodealtura,sarmentososyllenosdezarcillostrepadores,hojaspeque asdecolorverdebrillante,floresamarillas,encarnadasoblanquecinas,yfrutocapsular,alargado,decolorrojoamarillento,consemillasgrandesenformadealmendra .  
balsamic.  bals mico .  
baltic.  b ltico .  
baluster.  balaustre .  
balustrade.  balaustrada; barandilla .  
bamboo.  bamb .  
bamboozle.  enga o; embaucar; capear; enga ar; engatusar .  
 .  
bamboozle.  embaucador .  
ban.  prohibici n; excomuni n; edicto; proscribir; desterrar; excomulgar; prohibir .  
banal.  trivial; com n; trillado; banal .  
banality.  trivialidad; vulgaridad; banalidad .  
banana.  pl tano; banana .  
band.  correa; banda; cinta; venda; franja; lazo; abrazadera; orquesta; grupo; frecuencia; atar; vendar; precintar; juntar .  
bandage.  vendaje; venda; vendar .  
band-aid.  esparadrapo; tirita .  
bandanna.  pa uelodecabeza .  
bandbox.  sombrererabanderol, .  
banderole.  banderola .  
bandit.  bandido; bandolero .  
banditry.  bandoleraje .  
bandog.  mast n; perrodepresabandoleer, .  
bandolier.  bandolera .  
bandore.  bandurria .  
band-saw.  sierradecinta; sierrasinfin .  
bandstand.  quioscodem sica .  
bandwagon.  tojumponthe .  
bandwagon.  subirsealcarro .  
bandy.  arqueado; torcidohaciaafuera; depiernasarqueadas; lanzar; cambiar; discutir; hacercircularbandyabout/ .  
around.  sacararelucir .  
bandy-legged.  estevado; quetienelaspiernasarquedas .  
bane.  muerte; ruina; da o; perdici n; veneno; plaga; azote .  
baneful.  letal; funesto; pernicioso; venenoso .  
banewort.  plantavenenosa .  
bang.  golpe; porrazo; portazo; detonaci n; estampido; estruendo; justo; conestr pito; derepente; golpear; darunportazo; aporrear; maltratar; apalear; joder;  .  
bangs.  flequillobang .  
up.  estropear; encerrar .  
banger.  salchicha; carraca; cacharro; petardo .  
bangladesh.  bangladesh .  
bangle.  pulsera; ajorca; brazalete .  
bang-up.  topeguay .  
banian.  baniano; comerciantedelaindia,porlogeneralsinresidenciafija .  
banish.  desterrar; proscribir; expulsar; ahuyentar; desechar .  
banishment.  destierro; expulsi n .  
banister.  barandilla; pasamanos .  
banisters.  baranda .  
banjo.  banjo .  
bank.  banco; orilla; hilera; serie; terrapl n; ladear; loma; masa; cubrir; amontonar; depositar; ladearse; bank .  
holiday.  d afestivobank .  
on.  contarcon .  
bankable.  v lido .  
banker.  banquero .  
banking.  banca .  
banknote.  billetedebanco; vale .  
bankroll.  fortuna; financiar .  
bankrupt.  fallido; enquiebra; hacerquebrar .  
bankruptcy.  quiebra; bancarrota; agotamiento; faltatotal .  
banner.  bandera; estandarte; pancarta .  
 .  
bannister.  banister .  
bannock.  pan zimodeavenaocebadacom nenlasislasdelnorteinglaterra; tortafinaquesecuecesobreunarejilla .  
banns.  amonestaciones .  
banquet.  banquete .  
banqueting.  comedordegala .  
bantam.  gallina .  
bantamweight.  pesogallo .  
banter.  burlas; bromas; tomarelpelo; bromear .  
bantering.  dechanza .  
bantling.  peque uelo .  
bap.  bollodepanlargoyel ptico .  
baptise.  baptize .  
baptism.  bautismo .  
baptize.  bautizar .  
bar.  bar; barra; mostrador; barrote; tranca; raya; lista; pastilla; tableta; comp s; alfaque; bancodearena,especialmenteenladesembocaduradelosr os; abogac a; colegiodeabogados; obstruir; impedir; excluir; enrejar; bar .  
code.  c digodebarras .  
barb.  flecha; p a; leng eta; observaci nmordaz .  
barbarian.  b rbaro .  
barbaric.  b rbaro .  
barbarism.  barbarie .  
barbarity.  brutalidad; atrocidad .  
barbarous.  b rbaro .  
barbecue.  barbacoa; parrilla; asaralaparrilla .  
barbed.  mordaz; conleng eta; barbed .  
wire.  alambredeespino .  
barbell.  pesas .  
barber.  barbero .  
barber's.  barber a .  
barbican.  barbacana; defensaexteriordeuncastilloociudadespecialmentetorresopuertasdobles .  
barbiturate.  barbit rico .  
bardic.  referentealosbardos .  
bare.  desnudo; descalzo; raso; pelado; esencial; vac o; descubrir .  
bareback.  apelo .  
barefaced.  descaradobarefoot, .  
barefooted.  descalzo .  
bareheaded.  sinsombrero .  
barely.  apenas .  
bareness.  desnudezbarest .  
minimum.  loindispensable .  
barf.  arrojar; vomitar .  
bargain.  trato; acuerdo; ganga; regatear; negociarbargain .  
for.  esperarbargain .  
on.  contarcon .  
barge.  barcaza; lanchaaremolque; gabarra; fal a; peque aembarcaci naremo,velaomotor,provistaporlogeneraldecarrozaydestinadaaltransportedepersonasdecalidad; moverse; entrometerse; empujar; atajarbarge .  
about.  moversepesadamente; dartumbosbarge .  
in.  irrumpir; entrarsinpedirpermiso; entrometersebarge .  
into.  chocarcontra; darcontra; irrumpir .  
 .  
bargeman.  conductordebarcaza .  
baritone.  bar tono .  
bark.  corteza; ladrido; ladrar; descortezar; rozar; desollar; cubrirconcorteza .  
barkentine.  barcagoleta .  
barker.  voceador .  
barking.  ladridos .  
barley.  cebada .  
barley-sugar.  az carcand .  
barmaid.  mozadetaberna; camarera .  
barman.  barman; camarero; cantinero .  
barmy.  lelo; loco; chiflado .  
barn.  granero; pajar; cobertizo; establo .  
barnacle.  percebe; barnacle .  
goose.  especiedegansosalvajequeantiguamentesepensabaquesehab adesarrolladoapartirdeunpercebeadheridoaun rbol .  
barney.  bronca .  
barn-owl.  lechuza .  
barnstorm.  hacerunacampa aelectoralporelcampo .  
barnyard.  corral .  
barometer.  bar metro; piedradetoque .  
barometric.  barom trico .  
baron.  bar n; magnate; potentado .  
baroness.  baronesa .  
baronet.  baronet .  
baronetcy.  dignidaddebaronet .  
baronial.  baronial .  
barony.  baron a .  
baroque.  barroco; complicado; grotesco .  
barouche.  birlocho; carruajeespaciosodecuatroruedasconeltechoplegable .  
barrack.  abroncar; abuchear; lanzarimproperios;  .  
barracks.  cuartel; caser n .  
barracking.  abucheo; broca; improperios .  
barrage.  presa; dique; barrera; aluvi n; alud; cortinadefuego; bombardeo .  
barratry.  enga o; fraudeencompras,ventasotrueques .  
barred.  enrejado; conbarrotes .  
barrel.  ca  n; barril; cilindro; fuerteygrueso; conducirmuydeprisa .  
barrel-chested.  depechofuerteygrueso .  
barren.  est ril;  rido; desprovisto .  
barrenness.  esterilidad .  
barrette.  pasadorparaelpelo .  
barricade.  barricada; levantarbarricadasen .  
barrier.  barrera .  
barring.  excepto; salvo .  
barrister.  abogadodetribunalessuperiores .  
barrow.  t mulo; carrito; puestoambulante .  
barrow-boy.  vendedorcallejero .  
barrowful.  carretada .  
bartender.  barman; camarero .  
barter.  trueque; trocar; cambiar .  
base.  base; fundamento; bajo; ruin; vil; infame; basar; emplazarbase .  
on.  basaren .  
baseball.  b isbol .  
baseboard.  rodapi ; z calo .  
 .  
baseless.  infundado .  
basely.  despreciablemente; bajamente; ruinmente .  
basement.  s tano .  
baseness.  bajeza; vileza .  
bash.  fiesta; juerga; mamporro; golpear .  
bashful.  t mido; vergonzoso; apenado .  
basic.  fundamental; b sico .  
basil.  albahaca .  
basilica.  bas lica .  
basin.  palangana; cuenco; taz n; balde; barre o; d rsena; estanque; cuenca; lavabo .  
basis.  fundamento; base .  
bask.  calentarse; gozar; complacerse; tobaskinthe .  
heat.  disfrutardelcalor; tobaskinthe .  
sun.  tomarelsol .  
basket.  cesta; cesto; canasta; basket .  
case.  casodesahuciado .  
basketball.  baloncesto .  
basque.  continuaci ndelcorpi odebajodelacintura; especiedechaquetademujerconunafaldacorta .  
bas-relief.  bajorrelieve .  
bass.  bajo; contrabajo; r balo; perca; lubina .  
basset.  perrodepatasmuycortasamenudotorcidas .  
bassinet.  especiedecestaconcapuchaqueseusacomocuna; camaenunhospitalcontodolonecesarioparacuidardeunni o .  
bassoon.  fagot .  
basswood.  tiloamericano .  
bast.  fibra .  
bastard.  bastardo; descarado; cabr n .  
baste.  hilvanar; darpalosa; pringar; rociarunasadoconsupropiojugoograsa .  
bastinado.  bastonazo; paliza; apalear .  
bastion.  basti n .  
bat.  murci lago; bate; pala; paleta; tejoleta; golpear; batear; discutir; withoutbatingan .  
eye.  sininmutarse; rightoffthe .  
bat.  derepentebat .  
around.  discutir .  
batch.  hornada; montoncito; grupo; carga; mont n; serie; lote .  
bate.  rebajar; disminuir; cortar; contener .  
bated.  entrecortado; contenido .  
bath.  ba o; ba era; piscina; ba arse;  .  
baths.  piscinamunicipal .  
bathe.  ba o; ba arse; lavar .  
bathetic.  quepasadelosublimealotrivial .  
bather.  ba ista .  
bathinette.  ba eraport tilparabeb s .  
bathing.  ba os; bathing .  
cap.  gorrodeba o; bathing .  
machine.  casetadeplaya .  
bathing-suit.  trajedeba o .  
bathos.  pasodelosublimealotrivial .  
bathrobe.  bata; albornoz .  
bathroom.  ba o; cuartodeba o; lavabo; servicio .  
bathtub.  ba era .  
batik.  m todohind dehacerdise ossobretelacubriendosucesivamenteconceraaquellaspartesquenovanaserte idas .  
baton.  bast n; batuta; testigo .  
bats.  chiflado .  
batsman.  bateador .  
 .  
battalion.  batall n .  
batten.  list n; atrancar; tobattendownthe .  
hatchets.  atrancarlasescotillas .  
batter.  pastapararebozar; masa; batido; bateador; golpear; sacudir; pegar .  
battered.  estropeado; abollado; maltratado; rebozado .  
battering.  paliza; bombardeo .  
battering-ram.  ariete .  
battery.  agresi n; acumulador; bater a; pila; serie .  
battle.  batalla; combate; pelea; combatir; luchar .  
battledore.  raquetabattlefield, .  
battleground.  campodebatalla .  
battlement.  almenaje;  .  
battlements.  almenas .  
battle-scarred.  deteriorado .  
battleship.  acorazado .  
batty.  lelo .  
bauble.  chucher a; baratija; adorno .  
baulk.  balk .  
bawd.  alcahueta .  
bawdry.  nocasto .  
bawdy.  verde; obsceno; picante .  
bawl.  gritar; hablarfuerte; vociferar; berrear; cantar .  
bay.  ladrido; nave; barriga; bah a; laurel; zonadecargaydescarga; plaza; bayo; ladrar; aullar; at .  
bay.  acorralado; bay .  
window.  mirador; barriga; bay .  
leaf.  hojadelaurel; bay .  
rum.  rondelaurel .  
bayberry.  frutodellaurel; matadelafamiliadelasmirt ceascuyofrutoesunabayaquepuestaacocerarrojaunasustanciaparecidaalacera .  
bayonet.  bayoneta .  
bayou.  pantanos .  
bazaar.  bazar; mercadilloben fico .  
be.  ser; estarbe .  
through.  tobethrough .  
with.  terminarbe .  
up.  it'snotuptoo .  
much.  novalegrancosa; tobeupto .  
something.  estartramandoalgo; tobeuptoone s .  
neck.  tenertrabajohastalacoronilla .  
beach.  playa; varar; encallar; beach .  
master.  oficialalcargodeldesembarcodetropas .  
beach-head.  cabezadeplaya;  reaquesecontrolaenunaorillaenemigaparapoderdesembarcar .  
beach-master.  oficialalcargodeldesembarcodetropas .  
beachwear.  trajedeba o .  
beacon.  atalaya; faro; se al; almenara; radiofaro .  
bead.  cuenta; abalorio; gota; mira; formargotas; totellone's .  
beads.  decirelrosario; todrawabead .  
on.  apuntar;  .  
beads.  collar; rosario .  
beading.  moldura .  
beadle.  alguacil .  
beady.  peque os; tenerlosojosredondosybrillantes .  
beagle.  sabueso .  
beak.  pico; espol n .  
beaker.  tazaaltasinasa; vasodeprecipitaci n; copadebocaancha .  
beam.  rayo; viga; manga; sonrisaradiante; barrafija; sonre ralegremente; transmitir; resplandecer; tobeonthe .  
beam.  estarenelbuencamino .  
beaming.  sonriente .  
bean.  jud a; alubia; habichuela; grano; tobefullof .  
beans.  rebosarvitalidad; french/green .  
beans.  jud asverdes .  
beanbag.  coj ngrandellenodepolietilenobeanshoot, .  
beansprout.  brotedesoja .  
 .  
beanstalk.  jud a .  
